obs,time,deployment,conductivity_millisiemens,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,raw_time_microseconds,raw_time_seconds,temp,dpc_ctd_seawater_conductivity,practical_salinity,density,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,conductivity_millisiemens_qc_executed,conductivity_millisiemens_qc_results,dpc_ctd_seawater_conductivity_qc_executed,dpc_ctd_seawater_conductivity_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
"('73',)",3788278172.93,4,31.4330005646,3788642834.25,3788642840.7,3788278172.93,0.0,internal_timestamp,2640.66992188,934693,1579289372,1.82550001144,3.14330005646,34.6153278612,1039.80406022,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('74',)",3788278173.94,4,31.4328994751,3788642834.25,3788642840.7,3788278173.94,0.0,internal_timestamp,2640.65991211,935894,1579289373,1.82529997826,3.14328994751,34.6154214405,1039.80411774,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('75',)",3788278174.93,4,31.4326992035,3788642834.25,3788642840.7,3788278174.93,0.0,internal_timestamp,2640.67993164,927832,1579289374,1.82529997826,3.14326992035,34.615166155,1039.80400739,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('76',)",3788278175.93,4,31.4330005646,3788642834.25,3788642840.7,3788278175.93,0.0,internal_timestamp,2640.68994141,931332,1579289375,1.82490003109,3.14330005646,34.6159572786,1039.80472814,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('77',)",3788278176.93,4,31.432800293,3788642834.25,3788642840.7,3788278176.93,0.0,internal_timestamp,2640.68994141,932448,1579289376,1.82490003109,3.1432800293,34.6157114001,1039.80453599,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('78',)",3788278177.94,4,31.4330005646,3788642834.25,3788642840.7,3788278177.94,0.0,internal_timestamp,2640.66992188,935129,1579289377,1.82500004768,3.14330005646,34.6158601953,1039.80454864,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('79',)",3788278178.93,4,31.4326000214,3788642834.25,3788642840.71,3788278178.93,0.0,internal_timestamp,2640.66992188,927981,1579289378,1.82509994507,3.14326000214,34.6152620751,1039.80406674,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('80',)",3788278179.93,4,31.4326992035,3788642834.25,3788642840.71,3788278179.93,0.0,internal_timestamp,2640.66992188,930562,1579289379,1.82490003109,3.14326992035,34.6155967003,1039.8043572,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('81',)",3788278180.93,4,31.4326992035,3788642834.25,3788642840.71,3788278180.93,0.0,internal_timestamp,2640.66992188,932610,1579289380,1.82490003109,3.14326992035,34.6155967003,1039.8043572,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('82',)",3788278181.94,4,31.4326992035,3788642834.25,3788642840.71,3788278181.94,0.0,internal_timestamp,2640.62011719,935328,1579289381,1.82500004768,3.14326992035,34.6155136187,1039.804056,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('83',)",3788278182.94,4,31.432800293,3788642834.25,3788642840.71,3788278182.94,0.0,internal_timestamp,2640.64990234,938408,1579289382,1.82500004768,3.1432800293,34.6156237277,1039.80427469,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('84',)",3788278183.93,4,31.432800293,3788642834.25,3788642840.71,3788278183.93,0.0,internal_timestamp,2640.66992188,930272,1579289383,1.8246999979,3.1432800293,34.6159337978,1039.8046496,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('85',)",3788278184.93,4,31.4326000214,3788642834.25,3788642840.71,3788278184.93,0.0,internal_timestamp,2640.68994141,932855,1579289384,1.8246999979,3.14326000214,34.6156785076,1039.80453924,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('86',)",3788278185.94,4,31.432800293,3788642834.25,3788642840.71,3788278185.94,0.0,internal_timestamp,2640.67993164,935008,1579289385,1.82490003109,3.1432800293,34.6157161052,1039.80449509,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('87',)",3788278186.93,4,31.4326992035,3788642834.25,3788642840.71,3788278186.93,0.0,internal_timestamp,2640.68994141,926782,1579289386,1.82490003109,3.14326992035,34.61558729,1039.80443899,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('88',)",3788278187.93,4,31.4325008392,3788642834.25,3788642840.71,3788278187.93,0.0,internal_timestamp,2640.69995117,929484,1579289387,1.8248000145,3.14325008392,34.6154455407,1039.80438727,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('89',)",3788278188.93,4,31.432800293,3788642834.25,3788642840.71,3788278188.93,0.0,internal_timestamp,2640.66992188,933267,1579289388,1.8246999979,3.1432800293,34.6159337978,1039.8046496,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('90',)",3788278189.93,4,31.432800293,3788642834.25,3788642840.71,3788278189.93,0.0,internal_timestamp,2640.65991211,934790,1579289389,1.82490003109,3.1432800293,34.6157255156,1039.80441329,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('91',)",3788278190.95,4,31.4326000214,3788642834.25,3788642840.71,3788278190.95,0.0,internal_timestamp,2640.63989258,953590,1579289390,1.82459998131,3.14326000214,34.6158085273,1039.80443246,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('92',)",3788278191.95,4,31.4326000214,3788642834.25,3788642840.71,3788278191.95,0.0,internal_timestamp,2640.63989258,948830,1579289391,1.82500004768,3.14326000214,34.6153825552,1039.80404164,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
"('93',)",3788278192.96,4,31.4325008392,3788642834.25,3788642840.71,3788278192.96,0.0,internal_timestamp,2640.63989258,961421,1579289392,1.8248000145,3.14325008392,34.6154737716,1039.80414189,29,29,29,29,1,0,29,13,29,13,29,29,45.82972,-129.75904
